,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
0,,,69140,0,0,0,0,0,2,,,0,Shkodran,0.0,1,False,,,55,69140.jpg,2.6,Mustafi,0.5,False,,a,1,3,80,0,0,0,0,0.0,0.0,Mustafi,2611,2,0,6,40,0,0,0,9,0,0,5,475,718.6,106.0,252.0,107.8
1,0.0,,98745,0,0,0,0,0,2,,,0,Héctor,0.0,2,False,Knee injury - Unknown return date,2019-06-25T11:30:06.897107Z,55,98745.jpg,3.2,Bellerín,0.2,False,,i,1,3,60,0,0,0,0,0.0,0.0,Bellerín,1532,0,5,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280.0,73.7
2,,,111457,0,0,0,0,0,2,,,0,Sead,0.0,3,False,,,55,111457.jpg,3.4,Kolasinac,2.2,False,,a,1,3,81,0,0,0,0,0.0,0.0,Kolasinac,1886,0,7,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242.0,101.0
3,,,154043,0,0,0,0,0,2,,,0,Ainsley,0.0,4,False,,,50,154043.jpg,2.1,Maitland-Niles,1.0,False,,a,1,3,34,0,0,0,0,0.0,0.0,Maitland-Niles,983,1,1,2,20,0,0,0,1,1,0,3,152,224.2,98.9,126.0,44.8
4,,,39476,0,0,0,0,0,2,,,0,Sokratis,0.0,5,False,,,50,39476.jpg,2.6,Papastathopoulos,1.3,False,,a,1,3,64,0,0,0,0,0.0,0.0,Sokratis,2198,1,2,5,33,0,0,0,12,0,0,4,402,513.8,67.9,120.0,70.4
5,,,38411,0,0,0,0,0,2,,,0,Nacho,0.0,6,False,,,50,38411.jpg,3.5,Monreal,1.1,False,,a,1,3,77,0,0,0,0,0.0,0.0,Monreal,1860,1,4,5,24,0,0,0,5,0,0,7,392,413.2,196.6,224.0,83.4
6,,,51507,0,0,0,0,0,2,,,0,Laurent,0.0,7,False,,,50,51507.jpg,3.6,Koscielny,0.8,False,,a,1,3,62,0,0,0,0,0.0,0.0,Koscielny,1329,3,0,3,23,0,0,0,1,0,0,8,319,456.4,29.5,105.0,59.1
7,,,233963,0,0,0,0,0,2,,,0,Konstantinos,0.0,8,False,,,45,233963.jpg,0.8,Mavropanos,0.2,False,,a,1,3,3,0,0,0,0,0.0,0.0,Mavropanos,147,0,0,0,1,0,0,0,1,0,0,0,28,27.0,14.1,10.0,5.2
8,,,80254,0,0,0,0,0,2,,,0,Carl,0.0,9,False,,,45,80254.jpg,1.3,Jenkinson,0.2,False,,a,1,3,4,0,0,0,0,0.0,0.0,Jenkinson,165,0,0,0,3,0,0,0,0,0,0,0,16,26.8,16.9,8.0,5.2
9,0.0,,156074,0,0,0,0,0,2,,,0,Rob,0.0,10,False,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:06.913215Z,45,156074.jpg,2.4,Holding,0.2,False,,i,1,3,24,0,0,0,0,0.0,0.0,Holding,806,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14.0,23.2
10,,,54694,0,0,0,0,0,4,,,0,Pierre-Emerick,0.0,11,False,,,110,54694.jpg,5.7,Aubameyang,20.0,False,,a,1,3,205,0,0,0,0,0.0,0.0,Aubameyang,2722,22,7,7,42,0,0,1,0,0,0,32,756,984.4,484.6,1429.0,289.6
11,,,59966,0,0,0,0,0,4,,,0,Alexandre,0.0,12,False,,,95,59966.jpg,4.7,Lacazette,8.7,False,,a,1,3,166,0,0,0,0,0.0,0.0,Lacazette,2497,13,12,6,31,0,0,0,2,0,0,20,560,808.0,482.4,1319.0,260.6
12,,,205533,0,0,0,0,0,4,,,0,Edward,0.0,13,False,,,45,205533.jpg,2.0,Nketiah,4.9,False,,a,1,3,10,0,0,0,0,0.0,0.0,Nketiah,63,1,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59.0,11.4
13,,,80201,0,0,0,0,0,1,,,0,Bernd,0.0,14,False,,,50,80201.jpg,3.3,Leno,4.6,False,,a,1,3,106,0,0,0,0,0.0,0.0,Leno,2835,0,0,6,42,0,0,0,0,0,105,5,568,807.2,0.0,0.0,80.5
