,code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
0,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1250,1330,1240,1270,1290,1330
1,7,0,,2,0,Aston Villa,0,0,0,AVL,2,,False,0,990,1050,1050,1050,1030,1070
2,91,0,,3,0,Bournemouth,0,0,0,BOU,3,,False,0,1050,1140,1040,1100,1120,1170
3,36,0,,4,0,Brighton,0,0,0,BHA,2,,False,0,1000,1070,1040,1140,1050,1070
4,90,0,,5,0,Burnley,0,0,0,BUR,3,,False,0,1070,1090,990,1030,1060,1070
5,8,0,,6,0,Chelsea,0,0,0,CHE,4,,False,0,1280,1310,1270,1340,1280,1330
6,31,0,,7,0,Crystal Palace,0,0,0,CRY,3,,False,0,1130,1080,1030,1180,1100,1070
7,11,0,,8,0,Everton,0,0,0,EVE,3,,False,0,1100,1220,1070,1120,1120,1210
8,13,0,,9,0,Leicester,0,0,0,LEI,3,,False,0,1110,1120,1130,1180,1110,1110
9,14,0,,10,0,Liverpool,0,0,0,LIV,5,,False,0,1340,1350,1330,1360,1330,1360
10,43,0,,11,0,Man City,0,0,0,MCI,5,,False,0,1340,1360,1320,1330,1340,1370
11,1,0,,12,0,Man Utd,0,0,0,MUN,4,,False,0,1310,1330,1250,1260,1310,1340
12,4,0,,13,0,Newcastle,0,0,0,NEW,3,,False,0,1080,1110,1070,1110,1070,1090
13,45,0,,14,0,Norwich,0,0,0,NOR,2,,False,0,990,1060,1050,1050,1060,1080
14,49,0,,15,0,Sheffield Utd,0,0,0,SHU,2,,False,0,990,1060,1060,1080,1030,1050
15,20,0,,16,0,Southampton,0,0,0,SOU,3,,False,0,1060,1090,1040,1070,1100,1110
16,6,0,,17,0,Spurs,0,0,0,TOT,4,,False,0,1320,1310,1270,1340,1320,1330
17,57,0,,18,0,Watford,0,0,0,WAT,3,,False,0,1110,1110,1100,1100,1110,1120
18,21,0,,19,0,West Ham,0,0,0,WHU,3,,False,0,1100,1160,1090,1100,1080,1200
19,39,0,,20,0,Wolves,0,0,0,WOL,3,,False,0,1110,1200,1180,1200,1080,1150
